xi,S_hor,S_rad,S_tot,eta_GSL,P_norm
7.055276381909547645e+00,1.559468807692630632e+00,2.759863677492258915e+00,4.319332485184889769e+00,5.704144781104113493e-01,2.582651737486768514e+07
7.115577889447235904e+00,1.485864747170475342e+00,2.787356053173603243e+00,4.273220800344078363e+00,5.684824597849801320e-01,2.582651737486785650e+07
7.175879396984924163e+00,1.387193860755462360e+00,2.790545114921700431e+00,4.177738975677162792e+00,5.645232161487589995e-01,2.582651737486804649e+07
7.236180904522612423e+00,1.457178785983404445e+00,2.792070999358915451e+00,4.249249785342319896e+00,5.667829209755050890e-01,2.582651737486822158e+07
7.296482412060301570e+00,1.500409716181648756e+00,2.742812530471573140e+00,4.243222246653221674e+00,5.665351320659964829e-01,2.582651737486843765e+07
7.356783919597989829e+00,1.486689160762924011e+00,2.772269815543355165e+00,4.258958976306279176e+00,5.670293267478960786e-01,2.582651737486862391e+07
7.417085427135678088e+00,1.446015174480320464e+00,2.776418981745882419e+00,4.222434156226203328e+00,5.655328306564548768e-01,2.582651737486880273e+07
7.477386934673366348e+00,1.437092668381835692e+00,2.793758462176262114e+00,4.230851130558098028e+00,5.657969078495072024e-01,2.582651737486897036e+07
7.537688442211054607e+00,1.527354939416671664e+00,2.808709420370305132e+00,4.336064359786976574e+00,5.690710232028705073e-01,2.582651737486913055e+07
7.597989949748743754e+00,1.561247619000034392e+00,2.797736517367621190e+00,4.358984136367655360e+00,5.697777214109852606e-01,2.582651737486927956e+07
7.658291457286432014e+00,1.462181647419449115e+00,2.779397678507465219e+00,4.241579325926914557e+00,5.650311914492798238e-01,2.582651737486944348e+07
7.718592964824120273e+00,1.474203404939033346e+00,2.816933200225220979e+00,4.291136605164254547e+00,5.665553354020406163e-01,2.582651737486962974e+07
7.778894472361808532e+00,1.508650495795506696e+00,2.821488777477125343e+00,4.330139273272632039e+00,5.677473796307719311e-01,2.582651737486983463e+07
7.839195979899496791e+00,1.608539337596769148e+00,2.785626976624338891e+00,4.394166314221108038e+00,5.696900949491930932e-01,2.582651737487004325e+07
7.899497487437185939e+00,1.414518408102613645e+00,2.826312106422530057e+00,4.240830514525143258e+00,5.636235586705794498e-01,2.582651737487022951e+07
7.959798994974874198e+00,1.655174146440792082e+00,2.862140082297109256e+00,4.517314228737901338e+00,5.718446504691582222e-01,2.582651737487042695e+07
8.020100502512562457e+00,1.466042750081151924e+00,2.837539096052891452e+00,4.303581846134043154e+00,5.636360757453183767e-01,2.582651737487062812e+07
8.080402010050251604e+00,1.392202613194960081e+00,2.853150482113604447e+00,4.245353095308564306e+00,5.614404388005641566e-01,2.582651737487084419e+07
8.140703517587938975e+00,1.623955934500785681e+00,2.838723004926352100e+00,4.462678939427137337e+00,5.677252968103814190e-01,2.582651737487103045e+07
8.201005025125628123e+00,1.505374198905184979e+00,2.812941830279230615e+00,4.318316029184416038e+00,5.623718350838524671e-01,2.582651737487120181e+07
8.261306532663315494e+00,1.483076828397766667e+00,2.843887398720419846e+00,4.326964227118186734e+00,5.626189087459052551e-01,2.582651737487138435e+07
8.321608040201004641e+00,1.555712140121864762e+00,2.822732294671034037e+00,4.378444434792898576e+00,5.640839125551050381e-01,2.582651737487158552e+07
8.381909547738693789e+00,1.402291166124089772e+00,2.809118551124606178e+00,4.211409717248695728e+00,5.580194192671658060e-01,2.582651737487177551e+07
8.442211055276381160e+00,1.552437010094360748e+00,2.829646117420138829e+00,4.382083127514500021e+00,5.628219294462698530e-01,2.582651737487195060e+07
8.502512562814070307e+00,1.494688367497519543e+00,2.865013723206387031e+00,4.359702090703907018e+00,5.620211146791018741e-01,2.582651737487215176e+07
8.562814070351757678e+00,1.433393820905750848e+00,2.830425324170635193e+00,4.263819145076386263e+00,5.586159699482716734e-01,2.582651737487235665e+07
